,ASX code,Company name,GICs industry group,Listing date,Market Cap
0,14D.AX,1414 DEGREES LIMITED,Capital Goods,12/09/2018,10685244
1,1AD.AX,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22/08/2016,8800309
2,1AE.AX,AURORA ENERGY METALS LIMITED,Materials,18/05/2022,10874088
3,1AG.AX,ALTERRA LIMITED,"Food, Beverage & Tobacco",16/05/2008,6965525
4,1CG.AX,ONE CLICK GROUP LIMITED,Capital Goods,28/04/2017,5487227
5,1MC.AX,MORELLA CORPORATION LIMITED,Materials,08/01/2001,42690063
6,1ST.AX,1ST GROUP LIMITED,Health Care Equipment & Services,09/06/2015,7084956
7,1TT.AX,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,09/07/2015,8738284
8,29M.AX,29METALS LIMITED,Materials,02/07/2021,404948746
9,360.AX,LIFE360 INC.,Software & Services,10/05/2019,1468272151
10,3DA.AX,AMAERO INTERNATIONAL LTD,Capital Goods,06/12/2019,45852973
11,3DP.AX,POINTERRA LIMITED,Software & Services,27/03/2008,62358171
12,3MF.AX,3D METALFORGE LIMITED,Commercial & Professional Services,02/03/2021,SUSPENDED
13,3PL.AX,3P LEARNING LIMITED..,Consumer Services,09/07/2014,284778695
14,4DS.AX,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,09/12/2010,44078667
15,4DX.AX,4DMEDICAL LIMITED,Health Care Equipment & Services,07/08/2020,224336172
16,5EA.AX,5E ADVANCED MATERIALS INC.,Materials,01/03/2022,269352607
17,5GG.AX,PENTANET LIMITED,Telecommunication Services,29/01/2021,26534632
18,88E.AX,88 ENERGY LIMITED,Energy,20/01/2000,140755078
19,8CO.AX,8COMMON LIMITED,Software & Services,27/08/2014,16984585
20,8IH.AX,8I HOLDINGS LTD,Financial Services,17/12/2014,11792748
21,8VI.AX,8VI HOLDINGS LIMITED,Consumer Services,16/12/2015,14878555
22,92E.AX,92 ENERGY LIMITED,Energy,15/04/2021,35220907
23,A11.AX,ATLANTIC LITHIUM LIMITED,Materials,26/09/2022,359452579
24,A1G.AX,AFRICAN GOLD LTD.,Materials,14/02/2019,9650739
25,A1M.AX,AIC MINES LIMITED,Materials,04/11/1993,194134245
26,A1N.AX,ARN MEDIA LIMITED,Media & Entertainment,07/05/1992,313083542
27,A2B.AX,A2B AUSTRALIA LIMITED,Transportation,14/12/1999,172147570
28,A2M.AX,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco",31/03/2015,3595441546
29,A3D.AX,AURORA LABS LIMITED,Capital Goods,16/08/2016,5653586
30,A4N.AX,ALPHA HPA LIMITED,Materials,22/10/2007,986476991
31,A8G.AX,AUSTRALASIAN METALS LIMITED,Materials,13/05/2021,7296869
32,AAC.AX,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",10/08/2001,892094786
33,AAJ.AX,ARUMA RESOURCES LIMITED,Materials,23/07/2010,8632881
34,AAP.AX,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",07/01/2004,3661194
35,AAR.AX,ASTRAL RESOURCES NL,Materials,13/11/1986,48152360
36,AAU.AX,ANTILLES GOLD LIMITED,Materials,25/11/1993,22097475
37,ABA.AX,AUSWIDE BANK LTD,Banks,19/09/1994,244222718
38,ABB.AX,AUSSIE BROADBAND LIMITED,Telecommunication Services,16/10/2020,686902451
39,ABC.AX,ADBRI LIMITED,Materials,31/05/1962,1528791131
40,ABE.AX,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,06/12/2021,17228784
41,ABP.AX,ABACUS PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),14/11/2002,2368192727
42,ABV.AX,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,28/05/2002,12901876
43,ABX.AX,ABX GROUP LIMITED,Materials,24/12/2009,22359081
44,ABY.AX,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,23/10/2020,79821266
45,AC8.AX,AUSCANN GROUP HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",03/05/1989,SUSPENDED
46,ACB.AX,A-CAP ENERGY LIMITED,Energy,19/05/2006,55459579
47,ACE.AX,ACUSENSUS LIMITED.,Software & Services,12/01/2023,83258984
48,ACF.AX,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,Capital Goods,27/06/2008,202343963
49,ACL.AX,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,14/05/2021,668070590
50,ACP.AX,AUDALIA RESOURCES LIMITED,Materials,06/07/2011,7613498
51,ACQ.AX,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,01/05/2014,84294309
52,ACR.AX,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",29/09/2004,13256071
53,ACS.AX,ACCENT RESOURCES NL,Materials,26/08/2005,5204400
54,ACU.AX,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,05/12/2003,12654127
55,ACW.AX,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",16/10/2007,79915095
56,AD1.AX,AD1 HOLDINGS LIMITED,Media & Entertainment,23/06/2016,4112845
57,AD8.AX,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,30/06/2017,746636499
58,ADA.AX,ADACEL TECHNOLOGIES LIMITED,Software & Services,27/02/1998,42304869
59,ADC.AX,ACDC METALS LTD,Materials,17/01/2023,6362851
60,ADD.AX,ADAVALE RESOURCES LIMITED,Energy,06/02/1992,14027661
61,ADG.AX,ADELONG GOLD LIMITED,Materials,21/03/2007,4270578
62,ADH.AX,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,17/06/2015,242271375
63,ADN.AX,ANDROMEDA METALS LIMITED,Materials,17/09/1996,127521108
64,ADO.AX,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",07/04/2000,90197295
65,ADR.AX,ADHERIUM LIMITED,Health Care Equipment & Services,26/08/2015,14989315
66,ADS.AX,ADSLOT LTD.,Software & Services,17/12/1987,7438045
67,ADT.AX,ADRIATIC METALS PLC,Materials,01/05/2018,814140327
68,ADV.AX,ARDIDEN LTD,Materials,25/10/2005,17474180
69,ADX.AX,ADX ENERGY LTD,Energy,29/01/1987,25271497
70,ADY.AX,ADMIRALTY RESOURCES NL.,Materials,01/12/1983,10428633
71,AE1.AX,AERISON GROUP LTD,Capital Goods,12/07/2021,SUSPENDED
72,AEE.AX,AURA ENERGY LIMITED,Energy,30/05/2006,126379262
73,AEF.AX,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,17/12/2002,354135643
74,AEI.AX,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,12/09/2000,6386758
75,AER.AX,AEERIS LTD,Media & Entertainment,01/04/2015,7158386
76,AEV.AX,AVENIRA LIMITED,Materials,10/10/2006,27200116
77,AFA.AX,ASF GROUP LIMITED,Financial Services,29/05/1985,41997069
78,AFG.AX,AUSTRALIAN FINANCE GROUP LTD,Financial Services,22/05/2015,445926215
79,AFI.AX,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,30/06/1962,8794071680
80,AFL.AX,AF LEGAL GROUP LTD,Commercial & Professional Services,19/09/2003,13355441
81,AFP.AX,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22/12/2015,356545284
82,AFW.AX,APPLYFLOW LIMITED,Media & Entertainment,30/11/2010,1922448
